gtype	start	end	strand	function	CCNA	CC	geneName	rpkM
CDS	129746	131989	+	porphyrin biosynthesis protein	CCNA_00118	CC_0119		46.2923195169
CDS	131977	132438	+	hypothetical protein	CCNA_00119	CC_0120		73.8045024302
CDS	132435	132953	+	putative acetyltransferase	CCNA_00120	CC_0121		20.3474318534
CDS	133900	134682	+	3-hydroxyacyl CoA dehydrogenase	CCNA_00123	CC_0124		117.112911792
CDS	136811	137011	+	KTSC domain protein	CCNA_00127	CC_0128		25.6140278308
CDS	141119	141541	+	Rrf2 family protein	CCNA_00131	CC_0132		36.4634974164
CDS	141633	142433	+	ketoacyl reductase hetN	CCNA_00132	CC_0133	hetN	49.1816421227
CDS	142680	143894	+	radical SAM family enzyme	CCNA_00133	CC_0134		162.625750661
CDS	143989	144417	+	surface protein	CCNA_00134	CC_0135		244.904665507
CDS	144443	145276	+	trypsin-like peptidase	CCNA_00135	CC_0136		133.587290184
CDS	148752	150944	+	TonB-dependent receptor	CCNA_00138	CC_0139		68.0324408889
CDS	157593	158186	+	glutathione S-transferase	CCNA_00146	CC_0147		138.188517207
CDS	158354	158470	+	hypothetical protein	CCNA_00147	CC_0148		247.791959644
CDS	158546	159079	+	hypothetical protein	CCNA_00148	CC_0149		234.956901695
CDS	159096	159323	+	Cro/CI-family transcriptional regulator	CCNA_00149	CC_0150		101.958897842
CDS	161320	162396	+	winged helix-turn-helix transcription repressor HrcA	CCNA_00152	CC_0153		134.85040693
CDS	162409	163035	+	adenine nucleotide exchange factor GrpE	CCNA_00153	CC_0154	grpE	723.44979676
CDS	163413	164531	+	DNA polymerase III, beta chain	CCNA_00155	CC_0156		385.813465395
CDS	164664	164951	+	ArsR-family transcriptional regulator	CCNA_00156	CC_0157		36.4153943096
CDS	165022	165393	+	glyoxalase family protein	CCNA_00157	CC_0158		98.9385568084
CDS	165621	166784	+	DNA replication and repair protein recF	CCNA_00158	CC_0159	recF	133.097105695
CDS	166781	169246	+	DNA gyrase subunit B	CCNA_00159	CC_0160	gyrB	416.639803968
CDS	169387	170526	+	methyl-accepting chemotaxis protein	CCNA_00160	CC_0161		33.600212087
CDS	170951	171577	+	hypothetical protein	CCNA_00161	CC_0162		2714.11407839
CDS	171649	172917	+	hypothetical protein	CCNA_00162	CC_0163		4240.32601028
CDS	172964	175183	+	exopolysaccharide transport family protein	CCNA_00163	CC_0164		1102.59940033
CDS	175173	177098	+	O-antigen polymerase	CCNA_00164	CC_0165		283.192953661
CDS	177944	178090	+	hypothetical protein	CCNA_03915	NA		143.039124614
CDS	179311	180120	+	metallophosphatase family protein	CCNA_00167	CC_0168		249.976895885
CDS	180205	180801	+	polysaccharide export protein	CCNA_00168	CC_0169		690.032294089
CDS	181379	182917	+	hypothetical protein	CCNA_00169	CC_0170		21.1915035002
CDS	182997	185663	+	TonB-dependent receptor	CCNA_00170	CC_0171		9.019585089
CDS	185853	186290	+	type II secretion pathway protein C	CCNA_00171	CC_0172		10.4752292303
CDS	186287	188350	+	type II secretion pathway protein D	CCNA_00172	CC_0173	pulD	23.0188117278
CDS	188347	189822	+	type II secretion pathway protein E	CCNA_00173	CC_0174	pulE	13.7225531024
CDS	189809	191020	+	type II secretion pathway protein F	CCNA_00174	CC_0175	pulF	12.9135276945
CDS	191032	191484	+	type II secretion pathway protein G	CCNA_00175	CC_0176		93.6690130259
CDS	191399	191956	+	type II secretion pathway protein H	CCNA_00176	CC_0177		18.0460627767
CDS	191925	192308	+	type II secretion pathway protein I	CCNA_00177	CC_0178		12.9814623954
CDS	192305	192895	+	type II secretion pathway protein J	CCNA_00178	CC_0179		3.89449476603
CDS	192892	193866	+	type II secretion pathway protein K	CCNA_00179	CC_0180		10.1974428519
CDS	193848	194954	+	type II secretion pathway protein L	CCNA_00180	CC_0181		28.5011080983
CDS	194951	195427	+	type II secretion pathway protein M	CCNA_00181	CC_0182		24.8246647089
CDS	195424	196140	+	type II secretion pathway protein N	CCNA_00182	CC_0183		24.6502393555
CDS	203869	204135	+	zinc-finger domain protein	CCNA_00189	CC_0189		241.201019313
CDS	204137	204571	+	acyl-CoA hydrolase	CCNA_00190	CC_0190		182.941205776
CDS	204697	205173	+	N-acetylglutamate synthase domain protein	CCNA_00191	CC_0191		28.6404251923
CDS	212387	214267	+	TadG/vWA-family protein	CCNA_00199	CC_0199		149.041248965
CDS	215418	216098	+	outer membrane protein	CCNA_00201	CC_0201		75.6631346394
CDS	216215	217270	+	DesA-family fatty acid desaturase	CCNA_00202	CC_0202		146.749460018
CDS	217328	218332	+	sterol desaturase family protein	CCNA_00203	CC_0203		42.6277691405
CDS	220931	221641	+	succinyl-CoA:3-ketoacid-coenzyme A transferase subunit A	CCNA_00206	CC_0206		627.64120461
CDS	221641	222282	+	succinyl-CoA:3-ketoacid-coenzyme A transferase subunit B	CCNA_00207	CC_0207		339.020175353
CDS	225115	227526	+	TonB-dependent receptor	CCNA_00210	CC_0210		2632.86592072
CDS	227686	228693	+	Porphyromonas-type peptidyl-arginine deiminase	CCNA_00211	CC_0211		319.228453956
CDS	228693	229571	+	N-carbamoylputrescine amidase	CCNA_00212	CC_0212		185.478163971
CDS	229568	230116	+	ribosomal-protein-alanine acetyltransferase	CCNA_00213	CC_0213		74.7025588146
CDS	230262	232307	+	TonB-dependent receptor	CCNA_00214	CC_0214		31.0352807852
CDS	232614	233402	+	SapC surface layer protein	CCNA_00215	CC_0215		2168.95743562
CDS	233977	236127	+	thiol:disulfide interchange protein DsbD	CCNA_00217	CC_0217		64.0683768491
CDS	237030	237635	+	thiol-disulfide isomerase and thioredoxin	CCNA_00220	CC_0220		92.8634565088
CDS	238241	239860	+	glucose-6-phosphate isomerase/glucose-6 phosphate 1-epimerase	CCNA_00222	CC_0222		127.758948247
CDS	239869	240651	+	esterase lipase Family protein	CCNA_00223	CC_0223		86.8126194778
CDS	243024	243056	+	hypothetical protein	CCNA_00225	CC_0225		1.28481059386
CDS	243157	243432	+	hypothetical protein	CCNA_00226	CC_0226		3.41252875901
CDS	244790	245764	+	CAAX amino terminal protease family protein	CCNA_00229	CC_0229		35.7143459979
CDS	247055	247540	+	tRNA-specific adenosine deaminase	CCNA_00231	CC_0231		77.0144247906
CDS	247055	247540	+	tRNA-specific adenosine deaminase	CCNA_00231	CC_0231		77.0144247906
CDS	248082	249119	+	UDP-N-acetylglucosamine 4,6-dehydratase	CCNA_00233	CC_0233		111.190224825
CDS	249116	250276	+	WecE-family cell wall biogenesis enzyme	CCNA_00234	CC_0234		61.5530512029
CDS	252525	253232	+	two-component response regulator chvI	CCNA_00237	CC_0237	chvI	194.930732234
CDS	253207	254811	+	two-component sensor histidine kinase chvG	CCNA_00238	CC_0238	chvG	53.8390530603
CDS	254808	255242	+	serine kinase/phosphatase HprK	CCNA_00239	CC_0239	hprK	11.6057004235
CDS	255318	255725	+	PTS system, IIA component	CCNA_00240	CC_0240		582.463214446
CDS	255722	256000	+	phosphocarrier protein HPr	CCNA_00241	CC_0241		443.699766653
CDS	256953	257594	+	HAD superfamily phophatase	CCNA_00244	CC_0244		17.6708629275
CDS	257623	257907	+	pterin-4-alpha-carbinolamine dehydratase	CCNA_00245	CC_0245		59.8258045699
CDS	257952	258737	+	cyclohexanol dehydrogenase	CCNA_00246	CC_0246		48.0241743896
CDS	260971	261561	+	SCO1/SenC family protein	CCNA_00249	CC_0249		107.529050224
CDS	261642	262904	+	poly(3-hydroxyalkanoate) depolymerase	CCNA_00250	CC_0250		108.524205861
CDS	262953	263672	+	zinc metalloprotease	CCNA_00251	CC_0251		55.9764444091
CDS	265999	267027	+	aspartate-semialdehyde dehydrogenase	CCNA_00253	CC_0253		389.140821309
CDS	267164	268066	+	RarD family membrane permease	CCNA_00254	CC_0254		25.1367369272
CDS	273695	274738	+	ribonucleoside-diphosphate reductase beta chain	CCNA_00261	CC_0260		359.565531617
CDS	274921	275793	+	ketopantoate reductase panE/ApbA family protein	CCNA_00262	CC_0261		32.4807308527
CDS	278017	279471	+	AMP nucleosidase	CCNA_00265	CC_0264		417.181216584
CDS	282130	283956	+	DNA polymerase III subunit gamma/tau	CCNA_00268	CC_0267	dnaX	131.269035084
CDS	284102	284431	+	YbaB/EbfC-family DNA-binding protein	CCNA_00269	CC_0268		842.964230634
CDS	284558	285160	+	Recombination protein recR	CCNA_00270	CC_0269	recR	286.646083218
CDS	285270	285422	+	hypothetical protein	CCNA_00271	CC_0270		461.121041374
CDS	285476	286765	+	RmuC family protein	CCNA_00272	CC_0271		95.4370968238
CDS	286774	287295	+	peptide deformylase	CCNA_00273	CC_0272		362.315532617
CDS	287636	287998	+	hypothetical protein	CCNA_00274	NA		71.2903021076
CDS	290161	291321	+	succinyl-diaminopimelate desuccinylase	CCNA_00277	CC_0275		99.6008032411
CDS	291339	292259	+	glutaminase	CCNA_00278	CC_0276		19.3415111783
CDS	292311	292901	+	NAD(P)H-quinone reductase	CCNA_00279	CC_0277		8.68574819528
CDS	294659	294991	+	conserved cell surface protein	CCNA_00282	CC_0280		92.8279787949
CDS	304469	305884	+	phosphate regulon sensor protein phoR	CCNA_00291	CC_0289	phoR	94.8838845411
CDS	306029	307462	+	phosphate transport system permease protein pstC	CCNA_00292	CC_0290	pstC	62.3774391369
CDS	307455	308750	+	phosphate transport system permease protein pstA	CCNA_00293	CC_0291	pstA	125.097809797
CDS	308810	309634	+	phosphate transport ATP-binding protein pstB	CCNA_00294	CC_0292	pstB	119.751689123
CDS	309660	310352	+	phosphate transport system protein phoU	CCNA_00295	CC_0293	phoU	134.861411315
CDS	310374	311066	+	phosphate regulon response regulator PhoB	CCNA_00296	CC_0294	phoB	70.5640702691
CDS	312678	313961	+	phosphoribosylamine--glycine ligase	CCNA_00299	CC_0297		268.874491495
CDS	314615	315697	+	phosphotransferase family protein	CCNA_00301	CC_0299		15.5255149562
CDS	315702	316991	+	imidazolonepropionase-related amidohydrolase	CCNA_00302	CC_0300		126.005984892
CDS	323024	323689	+	protein tyrosine phosphatase CtpA	CCNA_00308	CC_0306	ctpA	78.6314004762
CDS	333179	334138	+	hypothetical protein	CCNA_00318	CC_0316		157.276016457
CDS	335959	336588	+	hypothetical protein	CCNA_00322	CC_0320		72.8229770581
CDS	336631	337728	+	low-affinity zinc transport protein	CCNA_00323	CC_0321		259.47306594
CDS	338634	339665	+	vegetatible incompatibility protein HET-E-1	CCNA_00326	CC_0323		193.541136036
CDS	340575	341264	+	monofunctional biosynthetic peptidoglycan transglycosylase MtgA	CCNA_00328	CC_0325	mtgA	128.21452104
CDS	341277	341825	+	ribosomal-protein-alanine acetyltransferase	CCNA_00329	CC_0326		78.7184695233
CDS	342674	343432	+	molybdate-binding protein	CCNA_00331	CC_0328		12.0141760811
CDS	343435	344109	+	molybdenum transport system permease protein modB	CCNA_00332	CC_0329		25.2732440722
CDS	345020	345580	+	hypothetical protein	CCNA_00334	CC_0331		0.475056017899
CDS	345618	346055	+	putative secreted protein	CCNA_00335	CC_0332		4.88152596475
CDS	346066	347517	+	lignostilbene-alpha,beta-dioxygenase	CCNA_00336	CC_0333		5.21641444035
CDS	347595	348305	+	TetR-family transcriptional regulator	CCNA_00337	CC_0334		79.7968831585
CDS	348479	350719	+	TonB-dependent receptor	CCNA_00338	CC_0335		54.6910625426
CDS	350788	352104	+	transporter, major facilitator superfamily	CCNA_00339	CC_0336		30.5101751632
CDS	352434	353633	+	succinyl-CoA synthetase beta chain	CCNA_00340	CC_0337		2004.74663893
CDS	353634	354518	+	succinyl-CoA synthetase alpha chain	CCNA_00341	CC_0338	sucD	2169.54983433
CDS	354697	357660	+	2-oxoglutarate dehydrogenase E1 component	CCNA_00342	CC_0339	odhA	578.598455835
CDS	357720	358928	+	dihydrolipoamide succinyltransferase	CCNA_00343	CC_0340	odhB	534.212722168
CDS	358988	359335	+	hypothetical protein	CCNA_00344	NA		78.3576234351
CDS	360419	361819	+	dihydrolipoamide dehydrogenase	CCNA_00346	CC_0342		859.939766041
CDS	361909	362088	+	hypothetical protein	CCNA_00347	NA		42.0959013861
CDS	366112	368271	+	primosomal protein N'	CCNA_00351	CC_0346		41.8855901282
CDS	369280	370374	+	O-antigen acetylase	CCNA_00353	CC_0348		62.7186200015
CDS	370445	371152	+	NlpC/P60 CHAP domain amidase protein	CCNA_00354	CC_0349		472.952234337
CDS	371323	372567	+	hypothetical protein with pentapeptide repeats	CCNA_00355	CC_0350		97.1400841323
CDS	372638	373402	+	outer membrane protein	CCNA_00356	CC_0351		104.136237924
CDS	373511	374938	+	secretory tripeptidyl aminopeptidase	CCNA_00357	CC_0352		68.9700748129
CDS	375919	376716	+	SH3 domain-containing cell surface protein	CCNA_00359	CC_0354		157.329266319
CDS	376916	377806	+	alpha/beta hydrolase superfamily protein	CCNA_00360	CC_0355		62.4356767161
CDS	383009	383803	+	phosphonates transport ATP-binding protein phnC	CCNA_00366	CC_0361		170.490210084
CDS	383800	384825	+	phosphonates-binding protein	CCNA_00367	CC_0362		352.859490611
CDS	384831	385667	+	phosphonates transport system permease protein phnE	CCNA_00368	CC_0363		281.254446468
CDS	385817	387130	+	magnesium and cobalt efflux protein corC-like protein	CCNA_00369	CC_0364		87.8075430618
CDS	387425	387559	+	hypothetical protein	CCNA_03918	NA		24.5194885238
CDS	390599	390988	+	hypothetical protein	CCNA_00375	CC_0371		1188.11236006
CDS	391059	391838	+	putative membrane spanning protein	CCNA_00376	CC_0372		63.5670630412
CDS	397466	398515	+	A/G-specific adenine DNA glycosylase	CCNA_00381	CC_0377		24.2941950925
CDS	400574	401479	+	glucan endo-1,3-beta-glucosidase	CCNA_00384	CC_0380		20.2266504111
CDS	401527	402861	+	multidrug resistance protein	CCNA_00385	CC_0381		19.0397381151
CDS	403575	403997	+	hypothetical protein	CCNA_00387	CC_0383		19.0586746755
CDS	405999	407213	+	ADP-heptose--LPS heptosyltransferase	CCNA_00390	CC_0386		122.911507431
CDS	407210	407767	+	hypothetical protein	CCNA_00391	CC_0387		69.9590223133
CDS	407848	409182	+	dihydroorotase	CCNA_00392	CC_0388		278.726975216
CDS	411052	412842	+	feruloyl-CoA synthetase	CCNA_00395	CC_0391		56.873236977
CDS	413741	415279	+	acetolactate synthase	CCNA_00397	CC_0393		70.0270074806
CDS	416919	418016	+	zinc metallohydrolase, glyoxalase II family	CCNA_00399	CC_0395		78.9860130252
CDS	418061	418504	+	MarR/EmrR-family transcriptional regulator	CCNA_00400	CC_0396		27.8565787253
CDS	418501	419271	+	enoyl-CoA hydratase	CCNA_00401	CC_0397		40.3954734909
CDS	419275	419691	+	hypothetical protein	CCNA_00402	NA		18.3669814546
CDS	419728	420699	+	short chain dehydrogenase	CCNA_00403	CC_0398		78.7093777434
CDS	420699	421214	+	hypothetical protein	CCNA_00404	CC_0399		16.7622963525
CDS	421211	422068	+	short chain dehydrogenase	CCNA_00405	CC_0400		26.42685966
CDS	422528	423007	+	acetyltransferase	CCNA_00407	CC_0402		67.2323029332
CDS	424406	424450	+	hypothetical protein	CCNA_00409	CC_0404		7.47025588146
CDS	424513	425043	+	acetyltransferase	CCNA_00410	CC_0405		39.1421332375
CDS	425076	425639	+	hypothetical protein	CCNA_00411	CC_0406		70.9975009091
CDS	425636	426286	+	CoA pyrophosphatase	CCNA_00412	CC_0407		64.3098874738
CDS	426379	427632	+	poly(A) polymerase/tRNA-nucleotidyltransferase	CCNA_00413	CC_0408		160.340498022
CDS	426379	427632	+	poly(A) polymerase/tRNA-nucleotidyltransferase	CCNA_00413	CC_0408		160.340498022
CDS	427653	428354	+	type 1 glutamine amidotransferase (GATase1) domain protein	CCNA_00414	CC_0409		104.840701335
CDS	430733	431269	+	fasciclin domain cell surface protein	CCNA_00419	CC_0414		53.4975443844
CDS	433404	433874	+	phosphohydrolase, MutT-nudix family	CCNA_00423	CC_0418		29.2238879164
CDS	434121	435560	+	aldehyde dehydrogenase	CCNA_00424	CC_0419		101.412088571
CDS	436545	436889	+	very-short-patch-repair endonuclease	CCNA_00426	CC_0421		71.3141701304
CDS	436958	437146	+	hypothetical protein	CCNA_00427	CC_0422		81.4164953533
CDS	437146	437328	+	hypothetical protein	CCNA_00428	CC_0423		246.200701703
CDS	437383	437550	+	hypothetical protein	CCNA_00429	NA		52.5838233741
CDS	437761	437883	+	hypothetical protein	CCNA_00431	NA		34.470528128
CDS	438748	439005	+	type 1 capsular polysaccharide biosynthesis protein J	CCNA_00433	NA		18.2178458957
CDS	439068	440003	+	conserved membrane-spanning protein	CCNA_00434	CC_0425		25.8424002621
CDS	440156	441607	+	amino acid transporter	CCNA_00435	CC_0426		161.767248132
CDS	441717	442865	+	acyl-CoA dehydrogenase, short-chain specific	CCNA_00436	CC_0427		89.615658729
CDS	443064	444677	+	methyl-accepting chemotaxis protein	CCNA_00437	CC_0428		10.9224252703
CDS	445497	447518	+	methyl-accepting chemotaxis protein	CCNA_00439	CC_0430		736.163791761
CDS	447518	447805	+	STAS domain protein	CCNA_00440	CC_0431		1279.94380016
CDS	447802	448167	+	chemotaxis receiver domain protein cheYI	CCNA_00441	CC_0432	cheYI	1019.52278209
CDS	448237	450525	+	chemotaxis histidine kinase protein cheAI	CCNA_00442	CC_0433	cheAI	409.998792876
CDS	450529	450996	+	chemotaxis protein cheW	CCNA_00443	CC_0434		283.415451179
CDS	450996	451877	+	chemotaxis protein methyltransferase	CCNA_00444	CC_0435		432.097784811
CDS	451877	452911	+	receiver domain-glutamate methylesterase cheBI	CCNA_00445	CC_0436		441.599509352
CDS	452915	453304	+	chemotaxis receiver domain protein cheYII	CCNA_00446	CC_0437		366.539519872
CDS	453301	453864	+	chemotaxis protein cheD	CCNA_00447	CC_0438	cheD	458.127725197
CDS	453868	454251	+	cheU protein	CCNA_00448	CC_0439	cheU	272.752670402
CDS	454259	454861	+	cheYIII	CCNA_00449	CC_0440	cheYIII	142.815783411
CDS	454858	455328	+	cheE protein	CCNA_00450	CC_0441	cheE	186.93643419
CDS	455598	458639	+	TonB-dependent receptor	CCNA_00451	CC_0442		39.058658377
CDS	461992	464661	+	N-acetyl-glucosamine/N-acetyl-chitin oligosaccharide outer membrane transporter nagA	CCNA_00455	CC_0446	nagA	77.1400899245
CDS	464819	467092	+	beta-N-acetylhexosaminidase	CCNA_00456	CC_0447		21.2499826793
CDS	467106	469664	+	phosphoenolpyruvate-protein phosphotransferase/phosphocarrier protein HPr/PTS system, glucose-specific IIA subunit	CCNA_00457	CC_0448		18.1555076641
CDS	469661	471415	+	PTS system, N-acetylglucosamine-specific IIBC component	CCNA_00458	CC_0449		10.7713876674
CDS	471542	472783	+	Na+/H+ antiporter nhaA	CCNA_00459	CC_0450	nhaA	78.360145909
CDS	473245	473400	+	hypothetical protein	CCNA_00460	NA		49.3487277824
CDS	474254	474409	+	UDP-glucose 6-dehydrogenase related protein	CCNA_03921	NA		499.350108584
CDS	475532	476800	+	GT1/WbuB-like N-acetyl-L-fucosamine transferase	CCNA_03998	NA		299.101389567
CDS	477514	477678	+	Undecaprenyl-phosphate sugar phosphotransferase-related protein	CCNA_00464	NA		136.905745995
CDS	477921	479033	+	UDP-galactopyranose mutase	CCNA_00465	NA		1199.60815918
CDS	479191	480435	+	glycosyltransferase	CCNA_00466	NA		847.203884456
CDS	480439	481710	+	oligosaccharide translocase/flippase	CCNA_00467	NA		672.946820459
CDS	483798	484859	+	hypothetical protein	CCNA_03922	NA		301.42807573
CDS	495332	495655	+	Helix-turn-helix DNA-binding protein	CCNA_00479	NA		10.7772835727
CDS	497352	497597	+	HipB transcriptional regulator	CCNA_00481	NA		651.628401552
CDS	497584	498855	+	toxin protein module HipA	CCNA_00482	NA		149.395594101
CDS	502235	504724	+	TonB-dependent receptor	CCNA_00486	CC_0454		3.59039325335
CDS	504911	506605	+	alkaline phosphatase	CCNA_00487	CC_0455		56.5781207229
CDS	507838	508722	+	hypothetical protein	CCNA_00490	CC_0458		30.9623798513
CDS	509704	511095	+	cysteinyl-tRNA synthetase	CCNA_00492	CC_0460		322.483305577
CDS	509704	511095	+	cysteinyl-tRNA synthetase	CCNA_00492	CC_0460		322.483305577
CDS	511098	511559	+	putative polyketide cyclase-dehydrase/lipid transport protein	CCNA_00493	CC_0461		153.895399552
CDS	511566	512027	+	transport protein	CCNA_00494	CC_0462		131.693085871
CDS	512080	512334	+	putative membrane protein insertion efficiency factor YidD	CCNA_00495	CC_0463		270.97195261
CDS	512331	514298	+	threonyl-tRNA synthetase	CCNA_00496	CC_0464		846.865471826
CDS	512331	514298	+	threonyl-tRNA synthetase	CCNA_00496	CC_0464		846.865471826
CDS	514298	515224	+	putative rhamnosyl transferase	CCNA_00497	CC_0465		208.390278978
CDS	518474	519211	+	glycosyl transferase family protein	CCNA_00502	CC_0469		110.125130101
CDS	519310	519732	+	hypothetical protein	CCNA_00503	CC_0470		154.724650042
CDS	520398	520949	+	ubiquinol-cytochrome c reductase iron-sulfur subunit	CCNA_00505	CC_0472		1585.92062013
CDS	520955	522235	+	cytochrome b	CCNA_00506	CC_0473		1855.32237756
CDS	522241	523086	+	cytochrome c1	CCNA_00507	CC_0474		2193.89544734
CDS	527284	527934	+	Abi superfamily/CAAX amino terminal protease	CCNA_03885	NA		47.6229975455
CDS	528078	528908	+	pirin	CCNA_00514	CC_0481		43.3535778934
CDS	529324	531657	+	5-methyltetrahydropteroyltriglutamate-- homocysteine methyltransferase	CCNA_00515	CC_0482		797.096751943
CDS	539769	540026	+	BMFP membrane fusogenic protein	CCNA_00526	NA		449.846976973
CDS	540157	540663	+	hypothetical protein	CCNA_00527	CC_0493		385.160802204
CDS	540844	541626	+	pyrroline-5-carboxylate reductase	CCNA_00528	CC_0494		53.6811025054
CDS	541695	542231	+	hypothetical protein	CCNA_00529	CC_0495		82.6939166465
CDS	542581	543099	+	LSU ribosomal protein L10P	CCNA_00530	CC_0496		6585.92743369
CDS	543145	543528	+	LSU ribosomal protein L12P (L7/L12)	CCNA_00531	CC_0497		11877.1153511
CDS	543952	544842	+	hypothetical protein, RDD superfamily	CCNA_00532	CC_0498		41.2872864647
CDS	546314	547336	+	hypothetical protein	CCNA_00534	CC_0500		46.3479139574
CDS	547379	547537	+	hypothetical protein	CCNA_00535	CC_0501		42.4939848841
CDS	547831	551901	+	DNA-directed RNA polymerase beta chain	CCNA_00536	CC_0502		988.57065608
CDS	552015	556205	+	DNA-directed RNA polymerase beta' chain	CCNA_00537	CC_0503		1300.73487455
CDS	556424	558220	+	methyl-accepting chemotaxis protein	CCNA_00538	CC_0504		88.228767745
CDS	561036	561344	+	hypothetical protein	CCNA_00541	CC_0507		10.5947869429
CDS	562579	563754	+	acetyl-CoA acetyltransferase	CCNA_00544	CC_0510		296.150012449
CDS	563825	564547	+	acetoacetyl-CoA reductase	CCNA_00545	CC_0511		356.849859288
CDS	564671	565453	+	hypothetical protein	CCNA_00546	CC_0512		59.6065617631
CDS	565748	565879	+	PurR-family transcriptional regulator	CCNA_00547	CC_0513		72.6376846459
CDS	565904	566170	+	transposase, HTH-Tnp1 superfamily	CCNA_00548	CC_0514		73.8632042212
CDS	566164	567090	+	transposase, IS2 family	CCNA_00549	CC_0515		11.4213306051
CDS	567006	568052	+	LacI-family transcriptional regulator	CCNA_00550	CC_0516		11.6308754354
CDS	570238	571044	+	methyltransferase	CCNA_00554	CC_0520		77.5771775252
CDS	571117	571461	+	nitrogen regulatory protein P-II	CCNA_00555	CC_0521		361.811441441
CDS	571546	573063	+	phospholipase D	CCNA_00556	CC_0522		29.4588714736
CDS	575815	576327	+	phosphohistidine phosphatase SixA	CCNA_00560	CC_0526	sixA	66.6797377755
CDS	576324	576668	+	conserved hypothetical cytosolic protein	CCNA_00561	CC_0527		61.1577822869
CDS	576665	577723	+	dihydroorotate dehydrogenase	CCNA_00562	CC_0528		89.8878657324
CDS	577720	578457	+	SNARE-associated family membrane protein	CCNA_00563	CC_0529		32.5705454467
