Gene1	Gene2	SysName1	SysName2	Name1	Name2	bOp	pOp	Sep	MOGScore	GOScore	COGSim	ExprSim
5847336	5847337	CCNA_00118	CCNA_00119			FALSE	0.299	-12.000	0.000	NA		NA
5847337	5847338	CCNA_00119	CCNA_00120			FALSE	0.495	-3.000	0.000	NA		NA
5847339	5847340	CCNA_00121	CCNA_00122			TRUE	0.760	9.000	0.040	NA		NA
5847342	5847343	CCNA_00124	CCNA_00125			TRUE	0.702	27.000	0.138	NA		NA
5847343	5847344	CCNA_00125	CCNA_00126			TRUE	0.793	7.000	0.037	1.000		NA
5847346	5847347	CCNA_00128	CCNA_00129			FALSE	0.093	83.000	0.004	NA		NA
5847347	5847348	CCNA_00129	CCNA_00130			FALSE	0.440	4.000	0.000	NA		NA
5847349	5847350	CCNA_00131	CCNA_00132		hetN	FALSE	0.066	92.000	0.000	NA		NA
5847350	5847351	CCNA_00132	CCNA_00133	hetN		FALSE	0.008	247.000	0.000	1.000		NA
5847351	5847352	CCNA_00133	CCNA_00134			FALSE	0.132	95.000	0.003	1.000		NA
5847352	5847353	CCNA_00134	CCNA_00135			TRUE	0.901	26.000	0.750	1.000		NA
5847354	5847355	CCNA_00136	CCNA_00137		shkA	TRUE	0.852	34.000	0.750	NA		NA
5847357	5847358	CCNA_00139	CCNA_00140	chlI		FALSE	0.276	109.000	0.013	1.000	N	NA
5847358	5847359	CCNA_00140	CCNA_00141			FALSE	0.220	56.000	0.018	1.000		NA
5847359	5847360	CCNA_00141	CCNA_00142			TRUE	0.693	2.000	0.006	1.000		NA
5847360	5847361	CCNA_00142	CCNA_00143			TRUE	0.945	0.000	0.165	1.000		NA
5847361	5847362	CCNA_00143	CCNA_00144			FALSE	0.235	35.000	0.006	1.000		NA
5847362	5847363	CCNA_00144	CCNA_00145			TRUE	0.919	-7.000	0.218	1.000	N	NA
5847364	5847365	CCNA_00146	CCNA_00147			FALSE	0.403	144.000	0.133	NA		NA
5847365	5847366	CCNA_00147	CCNA_00148			FALSE	0.483	76.000	0.154	NA		NA
5847366	5847367	CCNA_00148	CCNA_00149			TRUE	0.920	17.000	0.615	NA		NA
5847368	5847369	CCNA_00150	CCNA_00151			FALSE	0.079	167.000	0.003	1.000	N	NA
5847370	5847371	CCNA_00152	CCNA_00153	hrcA	grpE	TRUE	0.878	13.000	0.120	1.000	N	NA
5847373	5847374	CCNA_00155	CCNA_00156			FALSE	0.160	55.000	0.000	1.000	N	NA
5847374	5847375	CCNA_00156	CCNA_00157			FALSE	0.109	71.000	0.000	NA	N	NA
5847375	5847376	CCNA_00157	CCNA_00158		recF	FALSE	0.012	228.000	0.000	NA	N	NA
5847376	5847377	CCNA_00158	CCNA_00159	recF	gyrB	TRUE	0.992	-3.000	0.249	0.004	Y	NA
5847377	5847378	CCNA_00159	CCNA_00160	gyrB		FALSE	0.083	141.000	0.000	1.000		NA
5847378	5847379	CCNA_00160	CCNA_00161			FALSE	0.001	425.000	0.000	NA		NA
5847379	5847380	CCNA_00161	CCNA_00162			TRUE	0.581	72.000	0.286	NA		NA
5847380	5847381	CCNA_00162	CCNA_00163			TRUE	0.686	47.000	0.300	1.000		NA
5847381	5847382	CCNA_00163	CCNA_00164			TRUE	0.960	-10.000	0.100	NA	Y	NA
5847383	5847384	CCNA_00165	CCNA_00166	pssY		FALSE	0.001	357.000	0.000	NA		NA
5847385	5847386	CCNA_00167	CCNA_00168			TRUE	0.586	70.000	0.250	1.000		NA
5847386	5847387	CCNA_00168	CCNA_00169			FALSE	0.001	578.000	0.000	NA		NA
5847387	5847388	CCNA_00169	CCNA_00170			TRUE	0.636	80.000	0.373	NA		NA
5847388	5847389	CCNA_00170	CCNA_00171			FALSE	0.013	190.000	0.000	NA		NA
5847389	5847390	CCNA_00171	CCNA_00172		pulD	FALSE	0.495	-3.000	0.000	NA		NA
5847390	5847391	CCNA_00172	CCNA_00173	pulD	pulE	TRUE	0.996	-3.000	0.776	0.004	Y	NA
5847391	5847392	CCNA_00173	CCNA_00174	pulE	pulF	TRUE	0.990	-13.000	0.653	0.004	Y	NA
5847392	5847393	CCNA_00174	CCNA_00175	pulF		TRUE	0.990	12.000	0.599	0.004	Y	NA
5847393	5847394	CCNA_00175	CCNA_00176			TRUE	0.973	-85.000	0.425	0.004	Y	NA
5847394	5847395	CCNA_00176	CCNA_00177			TRUE	0.985	-31.000	0.605	0.004	Y	NA
5847395	5847396	CCNA_00177	CCNA_00178			TRUE	0.995	-3.000	0.569	0.004	Y	NA
5847396	5847397	CCNA_00178	CCNA_00179			TRUE	0.992	-3.000	0.461	1.000	Y	NA
5847397	5847398	CCNA_00179	CCNA_00180			TRUE	0.986	-18.000	0.537	0.050	Y	NA
5847398	5847399	CCNA_00180	CCNA_00181			TRUE	0.995	-3.000	0.811	1.000	Y	NA
5847399	5847400	CCNA_00181	CCNA_00182			TRUE	0.977	-3.000	0.649	1.000		NA
5847401	5847402	CCNA_00183	CCNA_00184	pulO		FALSE	0.064	59.000	0.000	NA		NA
5847402	5847403	CCNA_00184	CCNA_00185			FALSE	0.221	18.000	0.000	NA		NA
5847403	5847404	CCNA_00185	CCNA_R0003			FALSE	0.002	315.000	0.000	NA		NA
5847404	5847405	CCNA_R0003	CCNA_00186			FALSE	0.064	85.000	0.000	NA		NA
5847405	5847406	CCNA_00186	CCNA_00187			TRUE	0.925	-3.000	0.125	NA		NA
5847406	5847407	CCNA_00187	CCNA_00188			FALSE	0.325	40.000	0.019	NA	N	NA
5847408	5847409	CCNA_00189	CCNA_00190			TRUE	0.859	2.000	0.055	NA		NA
5847409	5847410	CCNA_00190	CCNA_00191			FALSE	0.108	126.000	0.000	1.000		NA
5847411	5847412	CCNA_00192	CCNA_00193		leuB	FALSE	0.044	196.000	0.007	1.000	N	NA
5847412	5847413	CCNA_00193	CCNA_00194	leuB		TRUE	0.858	2.000	0.015	0.040		NA
5847413	5847414	CCNA_00194	CCNA_00195		leuD	TRUE	0.531	142.000	0.231	1.000		NA
5847414	5847415	CCNA_00195	CCNA_00196	leuD	leuC	TRUE	0.985	-3.000	0.054	0.001	Y	NA
5847417	5847418	CCNA_00197	CCNA_00198	rplS	trmD	TRUE	0.993	-3.000	0.567	1.000	Y	NA
5847421	5847422	CCNA_00201	CCNA_00202			FALSE	0.230	117.000	0.007	1.000	N	NA
5847422	5847423	CCNA_00202	CCNA_00203			TRUE	0.844	19.000	0.000	NA	Y	NA
5847424	5847425	CCNA_00204	CCNA_00205	kefB		TRUE	0.975	4.000	0.750	1.000		NA
5847426	5847427	CCNA_00206	CCNA_00207			TRUE	0.996	0.000	0.800	0.002	Y	NA
5847428	5847429	CCNA_00208	CCNA_00209			FALSE	0.063	81.000	0.000	NA		NA
5847430	5847431	CCNA_00210	CCNA_00211			FALSE	0.415	55.000	0.057	1.000	N	NA
5847431	5847432	CCNA_00211	CCNA_00212			TRUE	0.944	0.000	0.158	1.000		NA
5847432	5847433	CCNA_00212	CCNA_00213			TRUE	0.776	-3.000	0.014	1.000		NA
5847433	5847434	CCNA_00213	CCNA_00214			FALSE	0.157	128.000	0.000	1.000	N	NA
5847434	5847435	CCNA_00214	CCNA_00215			FALSE	0.009	307.000	0.034	NA		NA
5847439	5847440	CCNA_00219	CCNA_00220			FALSE	0.137	29.000	0.000	NA		NA
5847442	5847443	CCNA_00222	CCNA_00223			FALSE	0.377	9.000	0.000	NA		NA
5847445	5847446	CCNA_00225	CCNA_00226			FALSE	0.074	101.000	0.000	NA		NA
5847447	5847448	CCNA_00227	CCNA_00228			TRUE	0.603	0.000	0.004	NA		NA
5847453	5847454	CCNA_00233	CCNA_00234			TRUE	0.978	-3.000	0.678	1.000		NA
5847455	5847456	CCNA_00235	CCNA_00236			FALSE	0.062	63.000	0.000	NA		NA
5847457	5847458	CCNA_00237	CCNA_00238	chvI	chvG	TRUE	0.984	-25.000	0.829	1.000	Y	NA
5847458	5847459	CCNA_00238	CCNA_00239	chvG		TRUE	0.972	-3.000	0.304	0.021		NA
5847459	5847460	CCNA_00239	CCNA_00240			FALSE	0.501	76.000	0.145	1.000		NA
5847460	5847461	CCNA_00240	CCNA_00241			TRUE	0.994	-3.000	0.420	0.003	Y	NA
5847462	5847463	CCNA_00242	CCNA_00243			FALSE	0.079	48.000	0.000	NA		NA
5847464	5847465	CCNA_00244	CCNA_00245			FALSE	0.372	29.000	0.016	1.000		NA
5847465	5847466	CCNA_00245	CCNA_00246			FALSE	0.289	45.000	0.012	1.000	N	NA
5847467	5847468	CCNA_00247	CCNA_00248			TRUE	0.907	78.000	0.560	1.000	Y	NA
5847469	5847470	CCNA_00249	CCNA_00250			TRUE	0.572	60.000	0.250	NA		NA
5847470	5847471	CCNA_00250	CCNA_00251			FALSE	0.167	49.000	0.011	NA		NA
5847473	5847474	CCNA_00253	CCNA_00254			FALSE	0.123	137.000	0.011	NA		NA
5847475	5847476	CCNA_00255	CCNA_00256			TRUE	0.842	19.000	0.179	1.000	N	NA
5847476	5847477	CCNA_00256	CCNA_00257			TRUE	0.663	119.000	0.004	1.000	Y	NA
5847479	5847480	CCNA_00259	CCNA_00260			FALSE	0.004	252.000	0.000	NA		NA
5847481	5847482	CCNA_00261	CCNA_00262			FALSE	0.080	183.000	0.022	1.000	N	NA
5847483	5847484	CCNA_00263	CCNA_00264			FALSE	0.343	147.000	0.100	NA		NA
5847486	5847487	CCNA_00266	CCNA_00267			FALSE	0.160	94.000	0.000	1.000	N	NA
5847488	5847489	CCNA_R0005	CCNA_00268			FALSE	0.096	41.000	0.000	NA		NA
5847489	5847490	CCNA_00268	CCNA_00269			TRUE	0.586	146.000	0.411	NA		NA
5847490	5847491	CCNA_00269	CCNA_00270		recR	TRUE	0.732	127.000	0.604	NA		NA
5847491	5847492	CCNA_00270	CCNA_00271	recR		FALSE	0.092	110.000	0.002	NA		NA
5847492	5847493	CCNA_00271	CCNA_00272			FALSE	0.104	54.000	0.004	NA		NA
5847493	5847494	CCNA_00272	CCNA_00273			TRUE	0.838	9.000	0.074	NA		NA
5847494	5847495	CCNA_00273	CCNA_00274			FALSE	0.002	341.000	0.000	NA		NA
5847496	5847497	CCNA_00275	CCNA_00276			FALSE	0.066	90.000	0.000	NA		NA
5847498	5847499	CCNA_00277	CCNA_00278			TRUE	0.879	18.000	0.005	1.000	Y	NA
5847499	5847500	CCNA_00278	CCNA_00279			FALSE	0.223	52.000	0.016	1.000		NA
5847501	5847502	CCNA_00280	CCNA_00281			TRUE	0.981	0.000	0.069	1.000	Y	NA
5847504	5847505	CCNA_00283	CCNA_00284			TRUE	0.904	-3.000	0.071	1.000		NA
5847505	5847506	CCNA_00284	CCNA_00285			TRUE	0.901	-3.000	0.069	1.000		NA
5847506	5847507	CCNA_00285	CCNA_00286		lovR	FALSE	0.032	193.000	0.000	1.000	N	NA
5847507	5847508	CCNA_00286	CCNA_00287	lovR	lovK	TRUE	0.894	19.000	0.000	0.033	Y	NA
5847508	5847509	CCNA_00287	CCNA_00288	lovK		FALSE	0.069	167.000	0.000	1.000	N	NA
5847509	5847510	CCNA_00288	CCNA_00289			FALSE	0.258	15.000	0.000	NA		NA
5847510	5847511	CCNA_00289	CCNA_00290			FALSE	0.010	203.000	0.000	NA		NA
5847512	5847513	CCNA_00291	CCNA_00292	phoR	pstC	FALSE	0.182	145.000	0.012	1.000	N	NA
5847513	5847514	CCNA_00292	CCNA_00293	pstC	pstA	TRUE	0.990	-7.000	0.485	0.001	Y	NA
5847514	5847515	CCNA_00293	CCNA_00294	pstA	pstB	TRUE	0.991	9.000	0.402	0.001	Y	NA
5847515	5847516	CCNA_00294	CCNA_00295	pstB	phoU	TRUE	0.935	26.000	0.203	NA	Y	NA
5847516	5847517	CCNA_00295	CCNA_00296	phoU	phoB	TRUE	0.766	22.000	0.128	NA	N	NA
5847518	5847519	CCNA_00297	CCNA_00298			FALSE	0.495	-3.000	0.000	NA		NA
5847522	5847523	CCNA_00301	CCNA_00302			TRUE	0.869	5.000	0.080	NA		NA
5847524	5847525	CCNA_00303	CCNA_00304			TRUE	0.968	-3.000	0.017	1.000	Y	NA
5847525	5847526	CCNA_00304	CCNA_00305		czcD	TRUE	0.903	-30.000	0.333	1.000	N	NA
5847526	5847527	CCNA_00305	CCNA_00306	czcD		TRUE	0.528	32.000	0.066	NA		NA
5847527	5847528	CCNA_00306	CCNA_00307			TRUE	0.751	-3.000	0.017	NA		NA
5847530	5847531	CCNA_00309	CCNA_00310			TRUE	0.888	21.000	0.515	NA		NA
5847531	5847532	CCNA_00310	CCNA_00311		pmbA	TRUE	0.940	-3.000	0.182	NA		NA
5847532	5847533	CCNA_00311	CCNA_00312	pmbA		FALSE	0.185	56.000	0.018	NA		NA
5847533	5847534	CCNA_00312	CCNA_00313			FALSE	0.168	85.000	0.016	NA		NA
5847534	5847535	CCNA_00313	CCNA_00314			FALSE	0.289	43.000	0.027	NA		NA
5847535	5847536	CCNA_00314	CCNA_00315			FALSE	0.247	26.000	0.006	NA		NA
5847536	5847537	CCNA_00315	CCNA_00316			FALSE	0.360	24.000	0.006	NA	N	NA
5847537	5847538	CCNA_00316	CCNA_00317		cgtA	TRUE	0.916	-3.000	0.087	1.000		NA
5847540	5847541	CCNA_00319	CCNA_00320			FALSE	0.297	183.000	0.011	1.000	Y	NA
5847541	5847542	CCNA_00320	CCNA_00321			TRUE	0.972	31.000	0.667	0.016	Y	NA
5847543	5847544	CCNA_00322	CCNA_00323			TRUE	0.768	43.000	0.500	NA		NA
5847545	5847546	CCNA_00324	CCNA_00325			FALSE	0.262	-19.000	0.000	NA		NA
5847549	5847550	CCNA_00328	CCNA_00329			TRUE	0.523	13.000	0.006	1.000		NA
5847552	5847553	CCNA_00331	CCNA_00332			TRUE	0.995	3.000	0.660	0.001	Y	NA
5847555	5847556	CCNA_00334	CCNA_00335			FALSE	0.395	38.000	0.043	NA		NA
5847556	5847557	CCNA_00335	CCNA_00336			TRUE	0.893	11.000	0.182	NA		NA
5847557	5847558	CCNA_00336	CCNA_00337			TRUE	0.778	15.000	0.091	NA		NA
5847558	5847559	CCNA_00337	CCNA_00338			TRUE	0.741	-60.000	0.103	1.000		NA
5847559	5847560	CCNA_00338	CCNA_00339			TRUE	0.612	69.000	0.276	NA	N	NA
5847560	5847561	CCNA_00339	CCNA_00340			FALSE	0.003	330.000	0.000	NA	N	NA
5847561	5847562	CCNA_00340	CCNA_00341		sucD	TRUE	0.992	1.000	0.256	0.001	Y	NA
5847562	5847563	CCNA_00341	CCNA_00342	sucD	odhA	FALSE	0.488	179.000	0.092	1.000	Y	NA
5847563	5847564	CCNA_00342	CCNA_00343	odhA	odhB	TRUE	0.920	60.000	0.667	1.000	Y	NA
5847564	5847565	CCNA_00343	CCNA_00344	odhB		FALSE	0.060	72.000	0.000	NA		NA
5847567	5847568	CCNA_00346	CCNA_00347			FALSE	0.066	90.000	0.000	NA		NA
5847569	5847570	CCNA_00348	CCNA_00349			FALSE	0.066	174.000	0.005	1.000	N	NA
5847570	5847571	CCNA_00349	CCNA_00350			TRUE	0.909	-3.000	0.093	NA		NA
5847574	5847575	CCNA_00353	CCNA_00354			TRUE	0.560	71.000	0.250	NA		NA
5847575	5847576	CCNA_00354	CCNA_00355			FALSE	0.024	171.000	0.000	NA		NA
5847576	5847577	CCNA_00355	CCNA_00356			FALSE	0.060	71.000	0.000	NA		NA
5847577	5847578	CCNA_00356	CCNA_00357			TRUE	0.674	109.000	0.333	NA		NA
5847580	5847581	CCNA_00359	CCNA_00360			FALSE	0.018	200.000	0.000	1.000		NA
5847582	5847583	CCNA_00361	CCNA_00362			FALSE	0.253	52.000	0.032	NA		NA
5847583	5847584	CCNA_00362	CCNA_00363			FALSE	0.426	31.000	0.016	1.000	N	NA
5847584	5847585	CCNA_00363	CCNA_00364			FALSE	0.239	79.000	0.015	1.000	N	NA
5847585	5847586	CCNA_00364	CCNA_00365			FALSE	0.491	123.000	0.081	1.000	N	NA
5847587	5847588	CCNA_00366	CCNA_00367			TRUE	0.985	-3.000	0.059	0.001	Y	NA
5847588	5847589	CCNA_00367	CCNA_00368			TRUE	0.975	6.000	0.038	0.001	Y	NA
5847589	5847590	CCNA_00368	CCNA_00369			FALSE	0.042	150.000	0.000	NA		NA
5847591	5847592	CCNA_00370	CCNA_00371			TRUE	0.993	11.000	0.863	0.004	Y	NA
5847592	5847593	CCNA_00371	CCNA_00372			TRUE	0.717	127.000	0.278	0.004		NA
5847593	5847594	CCNA_00372	CCNA_00373			TRUE	0.830	50.000	0.628	0.004		NA
5847594	5847595	CCNA_00373	CCNA_00374			TRUE	0.918	6.000	0.195	NA		NA
5847596	5847597	CCNA_00375	CCNA_00376			FALSE	0.206	44.000	0.014	NA		NA
5847598	5847599	CCNA_00377	CCNA_00378			FALSE	0.362	22.000	0.004	NA	N	NA
5847599	5847600	CCNA_00378	CCNA_00379			TRUE	0.994	0.000	0.750	NA	Y	NA
5847600	5847601	CCNA_00379	CCNA_00380			FALSE	0.021	239.000	0.025	NA		NA
5847603	5847604	CCNA_00382	CCNA_00383	ccrM		TRUE	0.706	139.000	0.048	1.000	Y	NA
5847605	5847606	CCNA_00384	CCNA_00385			FALSE	0.079	48.000	0.000	NA		NA
5847609	5847610	CCNA_00388	CCNA_00389			FALSE	0.071	98.000	0.000	NA		NA
5847611	5847612	CCNA_00390	CCNA_00391			FALSE	0.495	-3.000	0.000	NA		NA
5847612	5847613	CCNA_00391	CCNA_00392			FALSE	0.063	81.000	0.000	NA		NA
5847614	5847615	CCNA_00393	CCNA_00394			TRUE	0.937	-3.000	0.167	NA		NA
5847620	5847621	CCNA_00399	CCNA_00400			FALSE	0.363	45.000	0.039	1.000		NA
5847621	5847622	CCNA_00400	CCNA_00401			TRUE	0.952	-3.000	0.172	1.000	N	NA
5847622	5847623	CCNA_00401	CCNA_00402			TRUE	0.935	4.000	0.222	NA		NA
5847623	5847624	CCNA_00402	CCNA_00403			TRUE	0.686	37.000	0.222	NA		NA
5847624	5847625	CCNA_00403	CCNA_00404			TRUE	0.957	0.000	0.286	NA		NA
5847625	5847626	CCNA_00404	CCNA_00405			TRUE	0.881	-3.000	0.062	NA		NA
5847630	5847631	CCNA_00409	CCNA_00410			FALSE	0.062	63.000	0.000	NA		NA
5847631	5847632	CCNA_00410	CCNA_00411			TRUE	0.554	33.000	0.080	NA		NA
5847632	5847633	CCNA_00411	CCNA_00412			TRUE	0.961	-3.000	0.346	NA		NA
5847633	5847634	CCNA_00412	CCNA_00413			TRUE	0.582	93.000	0.163	1.000	N	NA
5847634	5847635	CCNA_00413	CCNA_00414			FALSE	0.476	21.000	0.009	1.000	N	NA
5847636	5847637	CCNA_00415	CCNA_00416			FALSE	0.210	102.000	0.019	NA		NA
5847637	5847638	CCNA_00416	CCNA_00417			TRUE	0.764	4.000	0.028	NA		NA
5847639	5847640	CCNA_00418	CCNA_00419			FALSE	0.495	-3.000	0.000	NA		NA
